text,label,rationale,tokens
ఎంప్లాయీస్ కి అంత జీతాలు వస్తునా చాలలేదు అంటే మరి నాన్ ఎంప్లాయీస్ ఏమి చేయాలి,1,"[0,0,0,0,0,1,1,0,0,0,1,1]","['ఎంప్లాయీస్', 'కి', 'అంత', 'జీతాలు', 'వస్తునా', 'చాలలేదు', 'అంటే', 'మరి', 'నాన్', 'ఎంప్లాయీస్', 'ఏమి', 'చేయాలి']"
టీ.సీ రేటు పెంచడం కాదు ఉద్యమాలు చేయకుండ ఉద్యోగులు కష్టపడితే అభివృద్ధి అవుతుంది,1,"[0,0,1,1,0,0,1,1,0,0]","['టీ.సీ', 'రేటు', 'పెంచడం', 'కాదు', 'ఉద్యమాలు', 'చేయకుండ', 'ఉద్యోగులు', 'కష్టపడితే', 'అభివృద్ధి', 'అవుతుంది']"
మీరు కదా రా జనల్ని మోసం చేసింది,1,"[0,0,0,0,1,1]","['మీరు', 'కదా', 'రా', 'జనల్ని', 'మోసం', 'చేసింది']"
ఈ సారి నేను బాస్ ని చైపుత్తో కొడతారూ ప్లీజ్ 2024 వరకు ఆగండి,1,"[0,0,0,0,0,1,1,0,0,0,0]","['ఈ', 'సారి', 'నేను', 'బాస్', 'ని', 'చైపుత్తో', 'కొడతారూ', 'ప్లీజ్', '2024', 'వరకు', 'ఆగండి']"
అసలేం మాట్లాడుతున్నావో నీకన్న అర్ధం అయితుందా,1,"[0,0,1,1,1]","['అసలేం', 'మాట్లాడుతున్నావో', 'నీకన్న', 'అర్ధం', 'అయితుందా']"
ఇదే ఏపీలో ఐతే పచ్చ మీడియా పచ్చ పార్టీ దీనికి కూడా జగన్ నీ కారణం అనే వాళ్ళు,1,"[0,0,0,1,1,1,1,0,0,0,0,0,0,0]","['ఇదే', 'ఏపీలో', 'ఐతే', 'పచ్చ', 'మీడియా', 'పచ్చ', 'పార్టీ', 'దీనికి', 'కూడా', 'జగన్', 'నీ', 'కారణం', 'అనే', 'వాళ్ళు']"
అమెరికా ఏజెంట్ జెలెన్స్కీ... దేశాన్ని నషానం చెస్ట్హున్నాడు.,1,"[0,0,0,1,1,1]","['అమెరికా', 'ఏజెంట్', 'జెలెన్స్కీ...', 'దేశాన్ని', 'నషానం', 'చెస్ట్హున్నాడు.']"
పవర్ లో ఉన్నది ఎవరు రా వెదవా,1,"[0,0,0,0,0,1]","['పవర్', 'లో', 'ఉన్నది', 'ఎవరు', 'రా', 'వెదవా']"
టార్చ్ లైట్ కుడా లేని రోజులా ఫేక్ న్యూస్ వాడు కవలనే చెసిండ్,0,no hateful tokens,"['టార్చ్', 'లైట్', 'కుడా', 'లేని', 'రోజులా', 'ఫేక్', 'న్యూస్', 'వాడు', 'కవలనే', 'చెసిండ్']"
ప్రజాలు అందరు సచ్చినంక పీకేదేమీలేదు,1,"[0,0,1,1]","['ప్రజాలు', 'అందరు', 'సచ్చినంక', 'పీకేదేమీలేదు']"
అమరికా ఆండథో మధం పెరిగి కొట్టుకుంటుండి ఊరికినే,1,"[0,0,1,1,1,0]","['అమరికా', 'ఆండథో', 'మధం', 'పెరిగి', 'కొట్టుకుంటుండి', 'ఊరికినే']"
చెత్తపాలన.  రక్షశత్వం,1,"[1,1]","['చెత్తపాలన.', 'రక్షశత్వం']"
"సంసారం కాడు, ఆది వేభిచారం",1,"[0,0,0,1]","['సంసారం', 'కాడు,', 'ఆది', 'వేభిచారం']"
నైస్ బాగా దింపావ్ ఆంకర్ బ్రో.,1,"[0,1,1,0,0]","['నైస్', 'బాగా', 'దింపావ్', 'ఆంకర్', 'బ్రో.']"
మరి ఆ సంగతి తెలిసి అంత మధం యెందుకురా నీకు వారు గారు అంటున్నావ్ జ్ఞానోదయమైంది కొంచెం ,1,"[0,0,0,0,1,1,1,1,1,1,1,0,0]","['మరి', 'ఆ', 'సంగతి', 'తెలిసి', 'అంత', 'మధం', 'యెందుకురా', 'నీకు', 'వారు', 'గారు', 'అంటున్నావ్', 'జ్ఞానోదయమైంది', 'కొంచెం']"
"""మా"" అధ్యక్షుడిగా గెలిస్తే ఏదో పీకుతానన్నాడు ఏమి పీకలేదు ఏదైనా చేయాలంటే మంచి మనసు ఉండాలి మెగాస్టార్ చేసినవి చూడండి ఆపద్బాంధవుడు అందరివాడు అన్నయ్య జై చిరంజీవి అందరికీ మీరే గాడ్ ఫాదర్",1,"[0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","['""మా""', 'అధ్యక్షుడిగా', 'గెలిస్తే', 'ఏదో', 'పీకుతానన్నాడు', 'ఏమి', 'పీకలేదు', 'ఏదైనా', 'చేయాలంటే', 'మంచి', 'మనసు', 'ఉండాలి', 'మెగాస్టార్', 'చేసినవి', 'చూడండి', 'ఆపద్బాంధవుడు', 'అందరివాడు', 'అన్నయ్య', 'జై', 'చిరంజీవి', 'అందరికీ', 'మీరే', 'గాడ్', 'ఫాదర్']"
"అందరు ఇదే పనిలో ఉన్నట్టున్నారు వీళ్లు, వామ్మ్మో మీరు రేచగొడితే రెచ్చిపోరు మీ ప్లాన్స్ పనికిరావ్ పోండి.",1,"[0,0,0,0,0,0,1,1,1,0,0,1,1]","['అందరు', 'ఇదే', 'పనిలో', 'ఉన్నట్టున్నారు', 'వీళ్లు,', 'వామ్మ్మో', 'మీరు', 'రేచగొడితే', 'రెచ్చిపోరు', 'మీ', 'ప్లాన్స్', 'పనికిరావ్', 'పోండి.']"
పాల్ మోసపోయాడు ఆర్జీవీ ఎల్లిపోయాడు యాంకర్ బిస్కిట్ అయ్యాడు ఈ అర్థం ఏంటో,1,"[0,1,0,0,0,1,1,0,0,0]","['పాల్', 'మోసపోయాడు', 'ఆర్జీవీ', 'ఎల్లిపోయాడు', 'యాంకర్', 'బిస్కిట్', 'అయ్యాడు', 'ఈ', 'అర్థం', 'ఏంటో']"
"అధికారికంగా 600 ఎకరాలు అంటే, అనధికారికంగా ఎన్నో, ఒక్కో కుటుంబ సభ్యుడు పేరు మీద ఎన్ని ఏకరాలు ఉన్నాయో రైతు బంధు ఒక్కటి చాలు.",1,"[0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0]","['అధికారికంగా', '600', 'ఎకరాలు', 'అంటే,', 'అనధికారికంగా', 'ఎన్నో,', 'ఒక్కో', 'కుటుంబ', 'సభ్యుడు', 'పేరు', 'మీద', 'ఎన్ని', 'ఏకరాలు', 'ఉన్నాయో', 'రైతు', 'బంధు', 'ఒక్కటి', 'చాలు.']"
నిజమైన జోకర్ లా ఉన్నడు కడ మల్లి సర్,1,"[0,1,1,1,0,0,0]","['నిజమైన', 'జోకర్', 'లా', 'ఉన్నడు', 'కడ', 'మల్లి', 'సర్']"
ఈడు ఎండకు ఆ గొడుగు పడుతున్నాడు ఇట్లాంటి వాడిని ఎక్కడ ఉంచాలో అక్కడ ఉండాలి వైసీపీ వాళ్ళు అదే చేసారు.,1,"[1,0,0,0,0,1,1,1,1,1,1,0,0,0,0]","['ఈడు', 'ఎండకు', 'ఆ', 'గొడుగు', 'పడుతున్నాడు', 'ఇట్లాంటి', 'వాడిని', 'ఎక్కడ', 'ఉంచాలో', 'అక్కడ', 'ఉండాలి', 'వైసీపీ', 'వాళ్ళు', 'అదే', 'చేసారు.']"
సర్ ఈ చర్చలు వద్దు సార్ పవర్ స్టార్ ఇమేజ్ పోయి మన డబ్బా మనమే కొట్టుకున్నట్టు ఉంటుంది.,1,"[0,0,0,0,0,0,0,1,1,1,1,1,1,1]","['సర్', 'ఈ', 'చర్చలు', 'వద్దు', 'సార్', 'పవర్', 'స్టార్', 'ఇమేజ్', 'పోయి', 'మన', 'డబ్బా', 'మనమే', 'కొట్టుకున్నట్టు', 'ఉంటుంది.']"
"మా కర్మ రాష్ట్రాన్ని పాలిస్తున్న మంత్రులు మల్లారెడ్డి, గంగుల, తలసాని మీకు దండం రా బాబు",1,"[1,1,0,0,0,0,0,0,0,0,0,0]","['మా', 'కర్మ', 'రాష్ట్రాన్ని', 'పాలిస్తున్న', 'మంత్రులు', 'మల్లారెడ్డి,', 'గంగుల,', 'తలసాని', 'మీకు', 'దండం', 'రా', 'బాబు']"
పెద్దల కి గౌరవం లేకున్నా మాట్లాడిన వాడు ఒక హీరో,1,"[0,0,1,1,1,1,0,0]","['పెద్దల', 'కి', 'గౌరవం', 'లేకున్నా', 'మాట్లాడిన', 'వాడు', 'ఒక', 'హీరో']"
పవర్ లోకి వచ్చాక ప్రజల పైనా కళ్ళు పెట్టి తొక్కుతారు.,1,"[0,0,0,0,0,1,1,1]","['పవర్', 'లోకి', 'వచ్చాక', 'ప్రజల', 'పైనా', 'కళ్ళు', 'పెట్టి', 'తొక్కుతారు.']"
అసెంబ్లీలో ఆ పార్టీ కానీ సార్ మా సమస్యల్ని గురించి మాట్లాడండి అనవసరం వీ అన్ని మాట్లాడవద్దు.,1,"[0,0,0,0,0,0,0,0,0,1,1,1,1]","['అసెంబ్లీలో', 'ఆ', 'పార్టీ', 'కానీ', 'సార్', 'మా', 'సమస్యల్ని', 'గురించి', 'మాట్లాడండి', 'అనవసరం', 'వీ', 'అన్ని', 'మాట్లాడవద్దు.']"
అరేయ్ బుడ్డెర్ ఖాన్ నువ్వు అసలు,1,"[1,1,1,0,0]","['అరేయ్', 'బుడ్డెర్', 'ఖాన్', 'నువ్వు', 'అసలు']"
పర్మిట్ రూమ్ లో ఎందుకు పెట్టిర్రు తాగినాకా ఒక బీర్ తో అగుతారా.,1,"[0,0,0,1,1,1,0,0,0,0]","['పర్మిట్', 'రూమ్', 'లో', 'ఎందుకు', 'పెట్టిర్రు', 'తాగినాకా', 'ఒక', 'బీర్', 'తో', 'అగుతారా.']"
కావేరీ జః కాదు రా అది ఎవరో కూడా తెలియదు జఫ్ఫా,1,"[0,0,0,0,0,0,0,0,1]","['కావేరీ', 'జః', 'కాదు', 'రా', 'అది', 'ఎవరో', 'కూడా', 'తెలియదు', 'జఫ్ఫా']"
"వైన్స్ లో తాగే సిస్టం పెట్టకండి సార్, బంజేయండి సామాన్యుల మధ్య మీరు ఎబ్బంది పెద్తారు, వైన్స్ ఎక్కడ పడితే అక్కడ ఉన్నాయి గల్లికో వైన్స్ ఐంది.",1,"[0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]","['వైన్స్', 'లో', 'తాగే', 'సిస్టం', 'పెట్టకండి', 'సార్,', 'బంజేయండి', 'సామాన్యుల', 'మధ్య', 'మీరు', 'ఎబ్బంది', 'పెద్తారు,', 'వైన్స్', 'ఎక్కడ', 'పడితే', 'అక్కడ', 'ఉన్నాయి', 'గల్లికో', 'వైన్స్', 'ఐంది.']"
మంచు లక్ష్మి లో అందం ఎక్కడ కనిపిస్తుందే రా బాబు .డబ్బు ఉంటె స్టోన్ కూడా డైమండ్ లాగా కనిపిస్తుందే.,1,"[0,0,0,1,1,1,1,1,0,0,0,0,0,0,0]","['మంచు', 'లక్ష్మి', 'లో', 'అందం', 'ఎక్కడ', 'కనిపిస్తుందే', 'రా', 'బాబు', '.డబ్బు', 'ఉంటె', 'స్టోన్', 'కూడా', 'డైమండ్', 'లాగా', 'కనిపిస్తుందే.']"
కొంచెం తేడాగా ప్రవర్తించండి కదండీ పిచ్చండి ఇది,1,"[0,1,1,0,1,1]","['కొంచెం', 'తేడాగా', 'ప్రవర్తించండి', 'కదండీ', 'పిచ్చండి', 'ఇది']"
ఈమె తాగి మాట్లాడుందేమో,1,"[0,1,1]","['ఈమె', 'తాగి', 'మాట్లాడుందేమో']"
"ఆంధ్రలో రోడ్లు వేయండి బాబు కొంచెం. ప్రమాదాలు అవుతున్నాయి, వాహనాలు అన్నీ డ్యామేజ్ అవుతున్నాయి.. కృష్ణా, పశ్చిమగోదావరి రోడ్లు అయితే మరీ దారుణం.",1,"[0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1]","['ఆంధ్రలో', 'రోడ్లు', 'వేయండి', 'బాబు', 'కొంచెం.', 'ప్రమాదాలు', 'అవుతున్నాయి,', 'వాహనాలు', 'అన్నీ', 'డ్యామేజ్', 'అవుతున్నాయి..', 'కృష్ణా,', 'పశ్చిమగోదావరి', 'రోడ్లు', 'అయితే', 'మరీ', 'దారుణం.']"
"ప్రజల సమస్యల గురించి ఒకరు కూడా మాట్లాడరు కదా, బాగుంది.",1,"[1,1,1,1,1,1,1,0]","['ప్రజల', 'సమస్యల', 'గురించి', 'ఒకరు', 'కూడా', 'మాట్లాడరు', 'కదా,', 'బాగుంది.']"
జగన్ పాపం పండే రోజులు దగ్గర పడుతున్నాయి ; వస్తున్నాయ్ మంచి రోజులు వస్తున్నాయ్.,1,"[0,1,1,0,0,0,0,0,0,0,0]","['జగన్', 'పాపం', 'పండే', 'రోజులు', 'దగ్గర', 'పడుతున్నాయి', ';', 'వస్తున్నాయ్', 'మంచి', 'రోజులు', 'వస్తున్నాయ్.']"
"ఇదేమి దరిద్రము రా అన్నా? అస్సలు భరించ లేక పోతున్నాము. వీళ్లకు ఏమైన బుద్ధి జ్ఞానము వుందా? వెల్ల ఐక్యూ ఎంత. మోట్ అముర్ కుటుంబం కలిపి చూసినా, 100 ధట్టదు ఎమో.",1,"[0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0]","['ఇదేమి', 'దరిద్రము', 'రా', 'అన్నా?', 'అస్సలు', 'భరించ', 'లేక', 'పోతున్నాము.', 'వీళ్లకు', 'ఏమైన', 'బుద్ధి', 'జ్ఞానము', 'వుందా?', 'వెల్ల', 'ఐక్యూ', 'ఎంత.', 'మోట్', 'అముర్', 'కుటుంబం', 'కలిపి', 'చూసినా,', '100', 'ధట్టదు', 'ఎమో.']"
అధికారం వుంటే తుగ్లక్ గాడు ఎమైనా చెసస్తాడు,1,"[0,0,1,1,0,0]","['అధికారం', 'వుంటే', 'తుగ్లక్', 'గాడు', 'ఎమైనా', 'చెసస్తాడు']"
జగ్గు గాడి దెబ్బకు రెడ్డిని ఉద్యోగంలో ఎవరు పెట్టుకోరు కులానికే ఈబంధీ పడుతోంది.,1,"[0,1,1,0,0,0,0,0,1,1]","['జగ్గు', 'గాడి', 'దెబ్బకు', 'రెడ్డిని', 'ఉద్యోగంలో', 'ఎవరు', 'పెట్టుకోరు', 'కులానికే', 'ఈబంధీ', 'పడుతోంది.']"
చి మారండి ఇ ట్రోల్స్ చుసైనా పబ్లిక్ ఫీలింగ్ తెలుసుకోని మసాలుకొండి,1,"[1,0,0,0,0,0,0,0,0]","['చి', 'మారండి', 'ఇ', 'ట్రోల్స్', 'చుసైనా', 'పబ్లిక్', 'ఫీలింగ్', 'తెలుసుకోని', 'మసాలుకొండి']"
మీ వల్లే తెలంగాణ ఈరోజు ఇలా వుంది సార్ మా ఆంద్ర కి కూడా జగన్ లాంటి యాధవ కాకుండ మీ లాంటి లేడర్స్ కావాలి సార్ గ్రేట్ కెసిఆర్ మరియు కెటిఆర్,1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0]","['మీ', 'వల్లే', 'తెలంగాణ', 'ఈరోజు', 'ఇలా', 'వుంది', 'సార్', 'మా', 'ఆంద్ర', 'కి', 'కూడా', 'జగన్', 'లాంటి', 'యాధవ', 'కాకుండ', 'మీ', 'లాంటి', 'లేడర్స్', 'కావాలి', 'సార్', 'గ్రేట్', 'కెసిఆర్', 'మరియు', 'కెటిఆర్']"
పాక్షిక ధరిద్రం వద్దు సార్,1,"[0,1,0,0]","['పాక్షిక', 'ధరిద్రం', 'వద్దు', 'సార్']"
"ఒక్క పార్టీ లో ఉంటే నువ్వు కరెక్ట్, మరితే ఇలానే ఉంటుంది.",1,"[0,0,0,0,0,0,1,1,1]","['ఒక్క', 'పార్టీ', 'లో', 'ఉంటే', 'నువ్వు', 'కరెక్ట్,', 'మరితే', 'ఇలానే', 'ఉంటుంది.']"
వైసిపి చప్పిన మాటలు వింటే మోసపోతారు జాగ్రత్త ,1,"[0,0,0,0,1,0]","['వైసిపి', 'చప్పిన', 'మాటలు', 'వింటే', 'మోసపోతారు', 'జాగ్రత్త']"
"ఇప్పుడు ఈ వీడియో చూస్తే, పిచ్చా కామెడీ గా ఉంటుంది కామెడీ చేద్దాం అనుకోని కామెడీ అయిపోయావా నర్సిరెడ్డి యాదకి పోయావయ్యా.",1,"[0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0]","['ఇప్పుడు', 'ఈ', 'వీడియో', 'చూస్తే,', 'పిచ్చా', 'కామెడీ', 'గా', 'ఉంటుంది', 'కామెడీ', 'చేద్దాం', 'అనుకోని', 'కామెడీ', 'అయిపోయావా', 'నర్సిరెడ్డి', 'యాదకి', 'పోయావయ్యా.']"
"జనమే కూర్చో పెట్టారు, మిమ్మల్ని తరిమి కొట్టారు",1,"[0,0,0,0,1,1]","['జనమే', 'కూర్చో', 'పెట్టారు,', 'మిమ్మల్ని', 'తరిమి', 'కొట్టారు']"
సి.బి.ఎన్. మర్యాద పూర్వకంగా మైక్ అనేది ప్రజా సమాజాలు తెలుసుకోకుండ ఎంపి గారు దుర్వినియోగమ్ చెసరు,1,"[0,0,0,0,0,0,0,0,0,0,1,1]","['సి.బి.ఎన్.', 'మర్యాద', 'పూర్వకంగా', 'మైక్', 'అనేది', 'ప్రజా', 'సమాజాలు', 'తెలుసుకోకుండ', 'ఎంపి', 'గారు', 'దుర్వినియోగమ్', 'చెసరు']"
వీడు ఎవరు ఓవర్ యాక్షన్ చెస్తున్నాడు చైల్డ్ లేబర్ ఆ ,1,"[0,0,1,1,1,1,1,0]","['వీడు', 'ఎవరు', 'ఓవర్', 'యాక్షన్', 'చెస్తున్నాడు', 'చైల్డ్', 'లేబర్', 'ఆ']"
పిల్లా పు ఆతులు,1,"[0,1,1]","['పిల్లా', 'పు', 'ఆతులు']"
వెల్లి అల్లూర్జున్ మడ్డా గుడు,1,"[0,0,1,1]","['వెల్లి', 'అల్లూర్జున్', 'మడ్డా', 'గుడు']"
నిబ్బాకి ఫోన్ ఉంది.,1,"[1,0,0]","['నిబ్బాకి', 'ఫోన్', 'ఉంది.']"
ఈ వీడియో కారణంగా నాగవల్లి మారనించింది.,1,"[0,0,1,0,1]","['ఈ', 'వీడియో', 'కారణంగా', 'నాగవల్లి', 'మారనించింది.']"
ప్రాంకులు చేసుకుంటున్నారు ఈ పోలీస్ గాళ్లు ప్రజలని మోసం చేయడానికి ,1,"[0,0,0,0,1,0,0,0]","['ప్రాంకులు', 'చేసుకుంటున్నారు', 'ఈ', 'పోలీస్', 'గాళ్లు', 'ప్రజలని', 'మోసం', 'చేయడానికి']"
"పోలీస్ డ్రామా ఇది జనం అందులో, ముఖ్యంగా రాత్రి సమయంలో ""సర్"" అని గౌరవం ఇచ్చేంత సీన్ లేదు.",1,"[0,1,1,0,0,0,0,0,0,0,0,1,1,1]","['పోలీస్', 'డ్రామా', 'ఇది', 'జనం', 'అందులో,', 'ముఖ్యంగా', 'రాత్రి', 'సమయంలో', '""సర్""', 'అని', 'గౌరవం', 'ఇచ్చేంత', 'సీన్', 'లేదు.']"
ఓక్కోక్కడికి 9 నెలల గర్భం వంధి పోలీసుల లాకీ,1,"[1,1,1,1,1,0,0]","['ఓక్కోక్కడికి', '9', 'నెలల', 'గర్భం', 'వంధి', 'పోలీసుల', 'లాకీ']"
